Date,Time,slev_m
30/03/2019,18:00,1.502
30/03/2019,19:00,1.352
30/03/2019,20:00,1.366
30/03/2019,21:00,1.558
30/03/2019,22:00,1.869
30/03/2019,23:00,2.258
31/03/2019,0:00,2.698
31/03/2019,1:00,3.11
31/03/2019,2:00,3.382
31/03/2019,3:00,3.457
31/03/2019,4:00,3.377
31/03/2019,5:00,3.199
31/03/2019,6:00,2.952
31/03/2019,7:00,2.678
31/03/2019,8:00,2.463
31/03/2019,9:00,2.386
31/03/2019,10:00,2.446
31/03/2019,11:00,2.572
31/03/2019,12:00,2.688
31/03/2019,13:00,2.767
31/03/2019,14:00,2.779
31/03/2019,15:00,2.656
31/03/2019,16:00,2.387
31/03/2019,17:00,2.065
31/03/2019,18:00,1.769
31/03/2019,19:00,1.523
31/03/2019,20:00,1.382
31/03/2019,21:00,1.425
31/03/2019,22:00,1.643
31/03/2019,23:00,1.973
01/04/2019,0:00,2.383
01/04/2019,1:00,2.83
01/04/2019,2:00,3.206
01/04/2019,3:00,3.404
01/04/2019,4:00,3.406
01/04/2019,5:00,3.27
01/04/2019,6:00,3.041
01/04/2019,7:00,2.741
01/04/2019,8:00,2.442
01/04/2019,9:00,2.257
01/04/2019,10:00,2.245
01/04/2019,11:00,2.362
01/04/2019,12:00,2.523
01/04/2019,13:00,2.674
01/04/2019,14:00,2.789
01/04/2019,15:00,2.809
01/04/2019,16:00,2.66
01/04/2019,17:00,2.37
01/04/2019,18:00,2.048
01/04/2019,19:00,1.751
01/04/2019,20:00,1.508
01/04/2019,21:00,1.403
01/04/2019,22:00,1.502
01/04/2019,23:00,1.764
02/04/2019,0:00,2.124
02/04/2019,1:00,2.555
02/04/2019,2:00,2.987
02/04/2019,3:00,3.29
02/04/2019,4:00,3.385
02/04/2019,5:00,3.3
02/04/2019,6:00,3.096
02/04/2019,7:00,2.799
02/04/2019,8:00,2.453
02/04/2019,9:00,2.172
02/04/2019,10:00,2.068
02/04/2019,11:00,2.14
02/04/2019,12:00,2.31
02/04/2019,13:00,2.509
02/04/2019,14:00,2.704
02/04/2019,15:00,2.841
02/04/2019,16:00,2.831
02/04/2019,17:00,2.634
02/04/2019,18:00,2.327
02/04/2019,19:00,2.005
02/04/2019,20:00,1.705
02/04/2019,21:00,1.483
02/04/2019,22:00,1.448
02/04/2019,23:00,1.624
03/04/2019,0:00,1.931
03/04/2019,1:00,2.317
03/04/2019,2:00,2.754
03/04/2019,3:00,3.136
03/04/2019,4:00,3.329
03/04/2019,5:00,3.302
03/04/2019,6:00,3.122
03/04/2019,7:00,2.839
03/04/2019,8:00,2.476
03/04/2019,9:00,2.122
03/04/2019,10:00,1.919
03/04/2019,11:00,1.926
03/04/2019,12:00,2.078
03/04/2019,13:00,2.296
03/04/2019,14:00,2.546
03/04/2019,15:00,2.783
03/04/2019,16:00,2.907
03/04/2019,17:00,2.835
03/04/2019,18:00,2.591
03/04/2019,19:00,2.275
03/04/2019,20:00,1.951
03/04/2019,21:00,1.654
03/04/2019,22:00,1.488
03/04/2019,23:00,1.554
04/04/2019,0:00,1.805
04/04/2019,1:00,2.14
04/04/2019,2:00,2.536
04/04/2019,3:00,2.954
04/04/2019,4:00,3.246
04/04/2019,5:00,3.294
04/04/2019,6:00,3.136
04/04/2019,7:00,2.86
04/04/2019,8:00,2.5
04/04/2019,9:00,2.101
04/04/2019,10:00,1.798
04/04/2019,11:00,1.717
04/04/2019,12:00,1.839
04/04/2019,13:00,2.061
04/04/2019,14:00,2.336
04/04/2019,15:00,2.643
04/04/2019,16:00,2.894
04/04/2019,17:00,2.965
04/04/2019,18:00,2.823
04/04/2019,19:00,2.55
04/04/2019,20:00,2.233
04/04/2019,21:00,1.905
04/04/2019,22:00,1.635
04/04/2019,23:00,1.565
05/04/2019,0:00,1.737
05/04/2019,1:00,2.035
05/04/2019,2:00,2.373
05/04/2019,3:00,2.764
05/04/2019,4:00,3.128
05/04/2019,5:00,3.283
05/04/2019,6:00,3.165
05/04/2019,7:00,2.88
05/04/2019,8:00,2.519
05/04/2019,9:00,2.106
05/04/2019,10:00,1.719
05/04/2019,11:00,1.518
05/04/2019,12:00,1.576
05/04/2019,13:00,1.802
05/04/2019,14:00,2.092
05/04/2019,15:00,2.432
05/04/2019,16:00,2.783
05/04/2019,17:00,3.011
05/04/2019,18:00,3.009
05/04/2019,19:00,2.814
05/04/2019,20:00,2.531
05/04/2019,21:00,2.213
05/04/2019,22:00,1.892
05/04/2019,23:00,1.69
06/04/2019,0:00,1.736
06/04/2019,1:00,1.986
06/04/2019,2:00,2.291
06/04/2019,3:00,2.617
06/04/2019,4:00,2.981
06/04/2019,5:00,3.245
06/04/2019,6:00,3.224
06/04/2019,7:00,2.942
06/04/2019,8:00,2.553
06/04/2019,9:00,2.132
06/04/2019,10:00,1.7
06/04/2019,11:00,1.372
06/04/2019,12:00,1.303
06/04/2019,13:00,1.493
06/04/2019,14:00,1.808
06/04/2019,15:00,2.167
06/04/2019,16:00,2.566
06/04/2019,17:00,2.931
06/04/2019,18:00,3.11
06/04/2019,19:00,3.046
06/04/2019,20:00,2.825
06/04/2019,21:00,2.544
06/04/2019,22:00,2.232
06/04/2019,23:00,1.949
07/04/2019,0:00,1.844
07/04/2019,1:00,1.989
07/04/2019,2:00,2.268
07/04/2019,3:00,2.551
07/04/2019,4:00,2.854
07/04/2019,5:00,3.159
07/04/2019,6:00,3.274
07/04/2019,7:00,3.067
07/04/2019,8:00,2.652
07/04/2019,9:00,2.198
07/04/2019,10:00,1.745
07/04/2019,11:00,1.328
07/04/2019,12:00,1.093
07/04/2019,13:00,1.158
07/04/2019,14:00,1.458
07/04/2019,15:00,1.846
07/04/2019,16:00,2.265
07/04/2019,17:00,2.703
07/04/2019,18:00,3.057
07/04/2019,19:00,3.187
07/04/2019,20:00,3.087
07/04/2019,21:00,2.864
07/04/2019,22:00,2.597
07/04/2019,23:00,2.312
08/04/2019,0:00,2.098
08/04/2019,1:00,2.084
08/04/2019,2:00,2.281
08/04/2019,3:00,2.547
08/04/2019,4:00,2.796
08/04/2019,5:00,3.058
08/04/2019,6:00,3.259
08/04/2019,7:00,3.201
08/04/2019,8:00,2.84
08/04/2019,9:00,2.349
08/04/2019,10:00,1.864
08/04/2019,11:00,1.402
08/04/2019,12:00,1.028
08/04/2019,13:00,0.898
08/04/2019,14:00,1.077
08/04/2019,15:00,1.456
08/04/2019,16:00,1.895
