"","Date","Time","SP","Temp"
"318",2019-04-18,"04:36:00","Cedar",9.5
"319",2019-04-18,"05:36:00","Cedar",9.5
"320",2019-04-18,"06:36:00","Cedar",9.5
"321",2019-04-18,"07:36:00","Cedar",9.5
"322",2019-04-18,"08:36:00","Cedar",9.5
"323",2019-04-18,"09:36:00","Cedar",9.5
"324",2019-04-18,"10:36:00","Cedar",10
"325",2019-04-18,"11:36:00","Cedar",10.5
"326",2019-04-18,"12:36:00","Cedar",10
"327",2019-04-18,"13:36:00","Cedar",10
"328",2019-04-18,"14:36:00","Cedar",10
"329",2019-04-18,"15:36:00","Cedar",9.5
"330",2019-04-18,"16:36:00","Cedar",9.5
"331",2019-04-18,"17:36:00","Cedar",9.5
"332",2019-04-18,"18:36:00","Cedar",9.5
"333",2019-04-18,"19:36:00","Cedar",9.5
"334",2019-04-18,"20:36:00","Cedar",9.5
"335",2019-04-18,"21:36:00","Cedar",10
"336",2019-04-18,"22:36:00","Cedar",10
"337",2019-04-18,"23:36:00","Cedar",9.5
"338",2019-04-19,"00:36:00","Cedar",9.5
"339",2019-04-19,"01:36:00","Cedar",9.5
"340",2019-04-19,"02:36:00","Cedar",9.5
"341",2019-04-19,"03:36:00","Cedar",9.5
"342",2019-04-19,"04:36:00","Cedar",9.5
"343",2019-04-19,"05:36:00","Cedar",9.5
"344",2019-04-19,"06:36:00","Cedar",9.5
"345",2019-04-19,"07:36:00","Cedar",9.5
"346",2019-04-19,"08:36:00","Cedar",9.5
"347",2019-04-19,"09:36:00","Cedar",9.5
"348",2019-04-19,"10:36:00","Cedar",11.5
"349",2019-04-19,"11:36:00","Cedar",12
"350",2019-04-19,"12:36:00","Cedar",11.5
"351",2019-04-19,"13:36:00","Cedar",12
"352",2019-04-19,"14:36:00","Cedar",11
"353",2019-04-19,"15:36:00","Cedar",10
"354",2019-04-19,"16:36:00","Cedar",10
"355",2019-04-19,"17:36:00","Cedar",9.5
"356",2019-04-19,"18:36:00","Cedar",10
"357",2019-04-19,"19:36:00","Cedar",10.5
"358",2019-04-19,"20:36:00","Cedar",10.5
"359",2019-04-19,"21:36:00","Cedar",10
"360",2019-04-19,"22:36:00","Cedar",10
"361",2019-04-19,"23:36:00","Cedar",10
"362",2019-04-20,"00:36:00","Cedar",9.5
"363",2019-04-20,"01:36:00","Cedar",9.5
"364",2019-04-20,"02:36:00","Cedar",9
"365",2019-04-20,"03:36:00","Cedar",9
"366",2019-04-20,"04:36:00","Cedar",9
"367",2019-04-20,"05:36:00","Cedar",9
"368",2019-04-20,"06:36:00","Cedar",9
"369",2019-04-20,"07:36:00","Cedar",9
"370",2019-04-20,"08:36:00","Cedar",9
"371",2019-04-20,"09:36:00","Cedar",9
"372",2019-04-20,"10:36:00","Cedar",9
"373",2019-04-20,"11:36:00","Cedar",9.5
"374",2019-04-20,"12:36:00","Cedar",10.5
"375",2019-04-20,"13:36:00","Cedar",11.5
"376",2019-04-20,"14:36:00","Cedar",12
"377",2019-04-20,"15:36:00","Cedar",14
"378",2019-04-20,"16:36:00","Cedar",12
"379",2019-04-20,"17:36:00","Cedar",11
"380",2019-04-20,"18:36:00","Cedar",9.5
"381",2019-04-20,"19:36:00","Cedar",9.5
"382",2019-04-20,"20:36:00","Cedar",9.5
"383",2019-04-20,"21:36:00","Cedar",9.5
"384",2019-04-20,"22:36:00","Cedar",9.5
"385",2019-04-20,"23:36:00","Cedar",9.5
"386",2019-04-21,"00:36:00","Cedar",9
"387",2019-04-21,"01:36:00","Cedar",9
"388",2019-04-21,"02:36:00","Cedar",9
"389",2019-04-21,"03:36:00","Cedar",9
"390",2019-04-21,"04:36:00","Cedar",9
"391",2019-04-21,"05:36:00","Cedar",9
"392",2019-04-21,"06:36:00","Cedar",9
"393",2019-04-21,"07:36:00","Cedar",9
"394",2019-04-21,"08:36:00","Cedar",9
"395",2019-04-21,"09:36:00","Cedar",9.5
"396",2019-04-21,"10:36:00","Cedar",10
"397",2019-04-21,"11:36:00","Cedar",12
"398",2019-04-21,"12:36:00","Cedar",13.5
"399",2019-04-21,"13:36:00","Cedar",14
"400",2019-04-21,"14:36:00","Cedar",15
"401",2019-04-21,"15:36:00","Cedar",14.5
"402",2019-04-21,"16:36:00","Cedar",11.5
"403",2019-04-21,"17:36:00","Cedar",10.5
"404",2019-04-21,"18:36:00","Cedar",10.5
"405",2019-04-21,"19:36:00","Cedar",10.5
"406",2019-04-21,"20:36:00","Cedar",10.5
"407",2019-04-21,"21:36:00","Cedar",10.5
"408",2019-04-21,"22:36:00","Cedar",10.5
"409",2019-04-21,"23:36:00","Cedar",10.5
"410",2019-04-22,"00:36:00","Cedar",10.5
"411",2019-04-22,"01:36:00","Cedar",10.5
"412",2019-04-22,"02:36:00","Cedar",10
"413",2019-04-22,"03:36:00","Cedar",10
"414",2019-04-22,"04:36:00","Cedar",10
"415",2019-04-22,"05:36:00","Cedar",10
"416",2019-04-22,"06:36:00","Cedar",10
"417",2019-04-22,"07:36:00","Cedar",10
"418",2019-04-22,"08:36:00","Cedar",10
"419",2019-04-22,"09:36:00","Cedar",10
"420",2019-04-22,"10:36:00","Cedar",10
"421",2019-04-22,"11:36:00","Cedar",9.5
"422",2019-04-22,"12:36:00","Cedar",10
"423",2019-04-22,"13:36:00","Cedar",11
"424",2019-04-22,"14:36:00","Cedar",10.5
"425",2019-04-22,"15:36:00","Cedar",10
"426",2019-04-22,"16:36:00","Cedar",10.5
"427",2019-04-22,"17:36:00","Cedar",10.5
"428",2019-04-22,"18:36:00","Cedar",10
"429",2019-04-22,"19:36:00","Cedar",10
"430",2019-04-22,"20:36:00","Cedar",10
"431",2019-04-22,"21:36:00","Cedar",10
"432",2019-04-22,"22:36:00","Cedar",10
"433",2019-04-22,"23:36:00","Cedar",10
"434",2019-04-23,"00:36:00","Cedar",10
"435",2019-04-23,"01:36:00","Cedar",10
"436",2019-04-23,"02:36:00","Cedar",10
"437",2019-04-23,"03:36:00","Cedar",10
"438",2019-04-23,"04:36:00","Cedar",10
"439",2019-04-23,"05:36:00","Cedar",9.5
"440",2019-04-23,"06:36:00","Cedar",9.5
"441",2019-04-23,"07:36:00","Cedar",9.5
"442",2019-04-23,"08:36:00","Cedar",9.5
"443",2019-04-23,"09:36:00","Cedar",10
"444",2019-04-23,"10:36:00","Cedar",10
"445",2019-04-23,"11:36:00","Cedar",11
"446",2019-04-23,"12:36:00","Cedar",10.5
"447",2019-04-23,"13:36:00","Cedar",12
"448",2019-04-23,"14:36:00","Cedar",13
"449",2019-04-23,"15:36:00","Cedar",13.5
"450",2019-04-23,"16:36:00","Cedar",13.5
"451",2019-04-23,"17:36:00","Cedar",18
"452",2019-04-23,"18:36:00","Cedar",11.5
"453",2019-04-23,"19:36:00","Cedar",10.5
"454",2019-04-23,"20:36:00","Cedar",10.5
"455",2019-04-23,"21:36:00","Cedar",10.5
"456",2019-04-23,"22:36:00","Cedar",10.5
"457",2019-04-23,"23:36:00","Cedar",10.5
"458",2019-04-24,"00:36:00","Cedar",10
"459",2019-04-24,"01:36:00","Cedar",9.5
"460",2019-04-24,"02:36:00","Cedar",9.5
"461",2019-04-24,"03:36:00","Cedar",9
"462",2019-04-24,"04:36:00","Cedar",9
"463",2019-04-24,"05:36:00","Cedar",9
"464",2019-04-24,"06:36:00","Cedar",9
"465",2019-04-24,"07:36:00","Cedar",9
"466",2019-04-24,"08:36:00","Cedar",9
"467",2019-04-24,"09:36:00","Cedar",9
"468",2019-04-24,"10:36:00","Cedar",9.5
"469",2019-04-24,"11:36:00","Cedar",10
"470",2019-04-24,"12:36:00","Cedar",9
"471",2019-04-24,"13:36:00","Cedar",9.5
"472",2019-04-24,"14:36:00","Cedar",10.5
"473",2019-04-24,"15:36:00","Cedar",11.5
"474",2019-04-24,"16:36:00","Cedar",15
"475",2019-04-24,"17:36:00","Cedar",20
"476",2019-04-24,"18:36:00","Cedar",17
"477",2019-04-24,"19:36:00","Cedar",11.5
"478",2019-04-24,"20:36:00","Cedar",10.5
"479",2019-04-24,"21:36:00","Cedar",10
"480",2019-04-24,"22:36:00","Cedar",10
"481",2019-04-24,"23:36:00","Cedar",10
"482",2019-04-25,"00:36:00","Cedar",10
"483",2019-04-25,"01:36:00","Cedar",10
"484",2019-04-25,"02:36:00","Cedar",9.5
"485",2019-04-25,"03:36:00","Cedar",9.5
"486",2019-04-25,"04:36:00","Cedar",9.5
"487",2019-04-25,"05:36:00","Cedar",9.5
"488",2019-04-25,"06:36:00","Cedar",9.5
"489",2019-04-25,"07:36:00","Cedar",9.5
"490",2019-04-25,"08:36:00","Cedar",9.5
"491",2019-04-25,"09:36:00","Cedar",9.5
"492",2019-04-25,"10:36:00","Cedar",9.5
"493",2019-04-25,"11:36:00","Cedar",10
"494",2019-04-25,"12:36:00","Cedar",11.5
"495",2019-04-25,"13:36:00","Cedar",11.5
"496",2019-04-25,"14:36:00","Cedar",12
"497",2019-04-25,"15:36:00","Cedar",13.5
"498",2019-04-25,"16:36:00","Cedar",14.5
"499",2019-04-25,"17:36:00","Cedar",16.5
"500",2019-04-25,"18:36:00","Cedar",14
"501",2019-04-25,"19:36:00","Cedar",12.5
"502",2019-04-25,"20:36:00","Cedar",11.5
"503",2019-04-25,"21:36:00","Cedar",10.5
"504",2019-04-25,"22:36:00","Cedar",10
"505",2019-04-25,"23:36:00","Cedar",9.5
"506",2019-04-26,"00:36:00","Cedar",9.5
"507",2019-04-26,"01:36:00","Cedar",9.5
"508",2019-04-26,"02:36:00","Cedar",9.5
"509",2019-04-26,"03:36:00","Cedar",9.5
"510",2019-04-26,"04:36:00","Cedar",9.5
"511",2019-04-26,"05:36:00","Cedar",9.5
"512",2019-04-26,"06:36:00","Cedar",9.5
"513",2019-04-26,"07:36:00","Cedar",9.5
"514",2019-04-26,"08:36:00","Cedar",10
"515",2019-04-26,"09:36:00","Cedar",10
"516",2019-04-26,"10:36:00","Cedar",10
"517",2019-04-26,"11:36:00","Cedar",10.5
"518",2019-04-26,"12:36:00","Cedar",11
"519",2019-04-26,"13:36:00","Cedar",12
"520",2019-04-26,"14:36:00","Cedar",13.5
"521",2019-04-26,"15:36:00","Cedar",14.5
"522",2019-04-26,"16:36:00","Cedar",16
"523",2019-04-26,"17:36:00","Cedar",17
"524",2019-04-26,"18:36:00","Cedar",12.5
"525",2019-04-26,"19:36:00","Cedar",11.5
"526",2019-04-26,"20:36:00","Cedar",12.5
"527",2019-04-26,"21:36:00","Cedar",12
"528",2019-04-26,"22:36:00","Cedar",11
"529",2019-04-26,"23:36:00","Cedar",10.5
"530",2019-04-27,"00:36:00","Cedar",10
"531",2019-04-27,"01:36:00","Cedar",10
"532",2019-04-27,"02:36:00","Cedar",10
"533",2019-04-27,"03:36:00","Cedar",9.5
"534",2019-04-27,"04:36:00","Cedar",9.5
"535",2019-04-27,"05:36:00","Cedar",9.5
"536",2019-04-27,"06:36:00","Cedar",9.5
"537",2019-04-27,"07:36:00","Cedar",9.5
"538",2019-04-27,"08:36:00","Cedar",9.5
"539",2019-04-27,"09:36:00","Cedar",9.5
"540",2019-04-27,"10:36:00","Cedar",10
"541",2019-04-27,"11:36:00","Cedar",10
"542",2019-04-27,"12:36:00","Cedar",10.5
"543",2019-04-27,"13:36:00","Cedar",11
"544",2019-04-27,"14:36:00","Cedar",11.5
"545",2019-04-27,"15:36:00","Cedar",12.5
"546",2019-04-27,"16:36:00","Cedar",12
"547",2019-04-27,"17:36:00","Cedar",15.5
"548",2019-04-27,"18:36:00","Cedar",11
"549",2019-04-27,"19:36:00","Cedar",10
"550",2019-04-27,"20:36:00","Cedar",9
"551",2019-04-27,"21:36:00","Cedar",11.5
"552",2019-04-27,"22:36:00","Cedar",10.5
"553",2019-04-27,"23:36:00","Cedar",9.5
"554",2019-04-28,"00:36:00","Cedar",9
"555",2019-04-28,"01:36:00","Cedar",9
"556",2019-04-28,"02:36:00","Cedar",9
"557",2019-04-28,"03:36:00","Cedar",9
