Date,Stage,Days_diff,SR,SP,OR,OS,Block,ID,L,Th,TW,SW,SG,DIED,OSTRINA,Notes,,,Legend,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,R,CG38,28.55,1.85,3.73,1.94,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,R,CG42,28.41,3.06,3.73,2.01,8,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG56,27.12,3.18,3.71,,8,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG51,27.55,3.22,3.7,2.01,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG55,28.03,3.13,3.69,1.98,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,O,CG07,26.64,3.33,3.69,2.01,5,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG72,27.74,3.06,3.65,,3,1,0,DEAD,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,B,CG52,26.54,2.95,3.64,,15,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,B,CG97,25.97,2.46,3.61,1.95,18,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG58,28.03,3.39,3.6,,3,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG58,27.88,3.72,3.59,1.92,4,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,R,CG65,26.21,3.93,3.57,1.96,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,B,CG97,26.22,2.08,3.56,,17,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG86,27.32,2.13,3.53,1.83,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG78,27.12,3.37,3.51,1.94,5,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,O,CG95,26.9,3.14,3.49,1.93,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,R,CG08,26.69,3.17,3.47,1.91,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG62,26.09,3.45,3.47,1.88,6,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG78,27.26,3.26,3.45,,3,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG50,26.67,3.23,3.43,,6,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG62,26.32,3.33,3.42,,5,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,O,CG44,26.97,2.05,3.41,1.83,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG87,27.37,3.14,3.41,1.83,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,B,CG03,26.69,2.36,3.38,1.84,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG58,28.24,2.94,3.38,1.79,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,R,CG30,27.91,2.11,3.37,1.83,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,O,CG07,26.67,2.21,3.37,1.98,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG63,26.19,3.29,3.3,1.59,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG94,27.51,3.12,3.26,1.76,,0,0,,,,,
